model,condition,corruption_type,severity,confidence_type,ece,mce,dece,rmsd,map50,n_predictions,n_bins_populated,map_is_tied_to_raw
yolov8,brightness_variation_S4,brightness_variation,4,dcn,0.24162937334524304,0.6784113515978274,0.295678681081496,0.28774967427494935,0.7839588716101744,1034,15,False
yolov8,brightness_variation_S5,brightness_variation,5,raw,0.05651658770658424,0.2792314489682516,0.10762944205713511,0.0736966267160611,0.8765289532934305,1112,15,False
yolov8,brightness_variation_S5,brightness_variation,5,ts,0.048563896212560895,0.2465328191644619,0.13606245343977275,0.08865359313251041,0.8765289532934305,1112,14,True
yolov8,brightness_variation_S5,brightness_variation,5,dcn,0.2764918379428656,0.6193849917720345,0.3294743772833978,0.3247482489001496,0.7410209005258592,1112,15,False
yolov8,gaussian_noise_S1,gaussian_noise,1,raw,0.08896599419362156,0.16407224411765736,0.10697384927370618,0.08992887491526301,0.06389853473504914,564,5,False
yolov8,gaussian_noise_S1,gaussian_noise,1,ts,0.06398805775834356,0.24626271195435845,0.1267417828165576,0.0714907672122119,0.06389853473504914,564,6,True
yolov8,gaussian_noise_S1,gaussian_noise,1,dcn,0.09898687588785368,0.9113072007894516,0.10253025268496374,0.10473992496975591,0.03467494824016563,564,2,False
yolov8,gaussian_noise_S2,gaussian_noise,2,raw,0.004304032725874262,0.004304032725874262,0.004304032725874264,0.004304032725874262,0.0,206,1,False
yolov8,gaussian_noise_S2,gaussian_noise,2,ts,0.0257503554307518,0.13417959651372127,0.025750355430751798,0.030712702090110726,0.0,206,3,True
yolov8,gaussian_noise_S2,gaussian_noise,2,dcn,0.34804498463037226,0.8935889899730682,0.3480449846303723,0.3779037528437539,0.0,206,13,False
yolov8,gaussian_noise_S3,gaussian_noise,3,raw,0.0026502585134063014,0.0026502585134063014,0.0026502585134063014,0.0026502585134063014,0.0,78,1,False
yolov8,gaussian_noise_S3,gaussian_noise,3,ts,0.020399387958286955,0.06930519409750636,0.020399387958286955,0.021887817435186235,0.0,78,2,True
yolov8,gaussian_noise_S3,gaussian_noise,3,dcn,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.9999998807907104,0.0,78,1,False
yolov8,gaussian_noise_S4,gaussian_noise,4,raw,0.002615199104184285,0.002615199104184285,0.002615199104184285,0.002615199104184285,0.0,36,1,False
yolov8,gaussian_noise_S4,gaussian_noise,4,ts,0.020580645781702364,0.020580645781702364,0.020580645781702364,0.020580645781702364,0.0,36,1,True
yolov8,gaussian_noise_S4,gaussian_noise,4,dcn,1.0,1.0,1.0,1.0,0.0,36,1,False
yolov8,gaussian_noise_S5,gaussian_noise,5,raw,0.001406445732125296,0.001406445732125296,0.001406445732125296,0.001406445732125296,0.0,13,1,False
yolov8,gaussian_noise_S5,gaussian_noise,5,ts,0.014775195882975082,0.014775195882975082,0.014775195882975082,0.014775195882975082,0.0,13,1,True
yolov8,gaussian_noise_S5,gaussian_noise,5,dcn,1.0,1.0,1.0,1.0,0.0,13,1,False
yolov8,jpeg_compression_S1,jpeg_compression,1,raw,0.07344688136763342,0.45171248726546764,0.1255793355056849,0.10125223817461693,0.9029388614411363,914,15,False
yolov8,jpeg_compression_S1,jpeg_compression,1,ts,0.06505036010626328,0.3442909268864388,0.151715315984955,0.11246394463439369,0.9029388614411363,914,13,True
yolov8,jpeg_compression_S1,jpeg_compression,1,dcn,0.09395419491360196,0.4883318841457367,0.21138154881363388,0.11290455089967859,0.8803288415023847,914,15,False
yolov8,jpeg_compression_S2,jpeg_compression,2,raw,0.06331143035086444,0.505456730723381,0.11412922529433188,0.09433260498524515,0.8817564465839065,1083,14,False
yolov8,jpeg_compression_S2,jpeg_compression,2,ts,0.05364152631363112,0.3909147073265855,0.13911474971388188,0.10303693591516011,0.8817564465839065,1083,13,True
yolov8,jpeg_compression_S2,jpeg_compression,2,dcn,0.126091512909571,0.3137129843235016,0.22784001170775822,0.14561643351724407,0.8434915311227908,1083,15,False
yolov8,jpeg_compression_S3,jpeg_compression,3,raw,0.06338566673949628,0.45293886959552765,0.1109959842528861,0.08846073518572647,0.8722811585261463,1208,15,False
yolov8,jpeg_compression_S3,jpeg_compression,3,ts,0.050065495924714896,0.41529230374808257,0.13510479987138824,0.09447691271536622,0.8722811585261463,1208,13,True
yolov8,jpeg_compression_S3,jpeg_compression,3,dcn,0.13003311027419623,0.42899929814868504,0.2342846900072806,0.14854198131441584,0.8307307912491022,1208,15,False
yolov8,jpeg_compression_S4,jpeg_compression,4,raw,0.059244844034777686,0.4445357590913773,0.09863944314613807,0.08242340919850198,0.8359666818640753,1756,14,False
yolov8,jpeg_compression_S4,jpeg_compression,4,ts,0.04300556649633423,0.3342087946217951,0.1195288065216767,0.08348985186183437,0.8359666818640753,1756,13,True
yolov8,jpeg_compression_S4,jpeg_compression,4,dcn,0.15056885088705632,0.35152949622044194,0.253906012783429,0.17106047364716892,0.7815494346475047,1756,15,False
yolov8,jpeg_compression_S5,jpeg_compression,5,raw,0.04172527957514929,0.3490132838487625,0.07804470133477653,0.07382241219868436,0.731438935271943,2368,14,False
yolov8,jpeg_compression_S5,jpeg_compression,5,ts,0.02314004143852041,0.2947446845183541,0.09781781251828053,0.06218245788773657,0.731438935271943,2368,13,True
yolov8,jpeg_compression_S5,jpeg_compression,5,dcn,0.15123996011877622,0.3687687742559216,0.2381401771431843,0.17275789748052367,0.5974822467042809,2368,15,False
yolov8,motion_blur_S1,motion_blur,1,raw,0.09831940281592931,0.46215964624514944,0.1280644346191548,0.11938045200567766,0.6268090453678343,1350,12,False
yolov8,motion_blur_S1,motion_blur,1,ts,0.07299179086723473,0.3648445442307875,0.14461639359691275,0.11487623579259251,0.6268090453678343,1350,11,True
yolov8,motion_blur_S1,motion_blur,1,dcn,0.1062209212623916,0.5685905702412128,0.15347756561141943,0.12785582538220527,0.3951906171202805,1350,15,False
yolov8,motion_blur_S2,motion_blur,2,raw,0.09430873646682039,0.448273740708828,0.11992804578523181,0.11552389150463578,0.293442379048942,1156,12,False
yolov8,motion_blur_S2,motion_blur,2,ts,0.0668507969020846,0.3522850434174246,0.13554442714153592,0.09875503879995075,0.293442379048942,1156,11,True
yolov8,motion_blur_S2,motion_blur,2,dcn,0.09759288051322339,0.8841886520385742,0.1330915719135157,0.10414706550983328,0.14167526776524894,1156,14,False
yolov8,motion_blur_S3,motion_blur,3,raw,0.09443084064424814,0.4404957592487335,0.1198167573142564,0.10978798724161748,0.38266409541344204,1200,12,False
yolov8,motion_blur_S3,motion_blur,3,ts,0.06878033848911103,0.4083895263091109,0.13690042827637888,0.10019402944779848,0.38266409541344204,1200,11,True
yolov8,motion_blur_S3,motion_blur,3,dcn,0.10343928788099827,0.7004100680351257,0.13957261091185502,0.11658267188977053,0.18991315409624918,1200,12,False
yolov8,motion_blur_S4,motion_blur,4,raw,0.1009499199435519,0.5010634660720825,0.12787556558017896,0.1184595700895497,0.39141306866558706,1194,12,False
yolov8,motion_blur_S4,motion_blur,4,ts,0.07396452930843876,0.49582126675802596,0.14431338557120474,0.10226380064964609,0.39141306866558706,1194,11,True
yolov8,motion_blur_S4,motion_blur,4,dcn,0.11131134257978294,0.4426618686744145,0.1474803086888736,0.11846047496784617,0.1632887201177685,1194,13,False
yolov8,motion_blur_S5,motion_blur,5,raw,0.07788442977869657,0.705050418774287,0.095719209766173,0.10443709652247676,0.2518375784646251,1052,12,False
yolov8,motion_blur_S5,motion_blur,5,ts,0.05149019550193424,0.4153571346365865,0.11330005941840306,0.0838450576283475,0.2518375784646251,1052,11,True
yolov8,motion_blur_S5,motion_blur,5,dcn,0.0870097253746661,0.5287845730781555,0.10975950753682903,0.09598544461970515,0.09334078020063515,1052,9,False
rtdetr,clean,none,0,raw,0.01199450264499518,0.32984988391399384,0.04213800306608021,0.032213043694249495,0.8870924927632311,10050,14,False
rtdetr,clean,none,0,ts,0.006545642300215626,0.3202282053044328,0.03691415121242706,0.02965736231650443,0.8870924927632311,10050,14,True
rtdetr,clean,none,0,dcn,0.11482537531556605,0.7324803072473278,0.12073906665833266,0.23401397820626937,0.8910566958092943,10050,15,False
rtdetr,brightness_variation_S1,brightness_variation,1,raw,0.01073688390150444,0.5749397448131016,0.04124061977527851,0.03383077079196851,0.8962985504216695,10050,14,False
rtdetr,brightness_variation_S1,brightness_variation,1,ts,0.005836788234336621,0.5770487197314095,0.036251762557180475,0.032493420336691795,0.8962985504216695,10050,14,True
rtdetr,brightness_variation_S1,brightness_variation,1,dcn,0.13889067381735665,0.7835908563791123,0.14553105810503664,0.2576375452612726,0.8950330313539091,10050,15,False
rtdetr,brightness_variation_S2,brightness_variation,2,raw,0.007289117143873997,0.3765558838844299,0.04176592860945421,0.03197977572574859,0.8971258434234324,10050,14,False
rtdetr,brightness_variation_S2,brightness_variation,2,ts,0.008121450548184628,0.36910445919494256,0.037050515542091815,0.03060676164185871,0.8971258434234324,10050,14,True
rtdetr,brightness_variation_S2,brightness_variation,2,dcn,0.1653907102894086,0.8160734551924246,0.17478693880687457,0.28868074015283457,0.8915071125911416,10050,15,False
rtdetr,brightness_variation_S3,brightness_variation,3,raw,0.006543189165604055,0.409618616104126,0.04208649331694514,0.03209593178627821,0.8992227991668181,10050,14,False
rtdetr,brightness_variation_S3,brightness_variation,3,ts,0.009314340685334214,0.38968671184867537,0.03757486484504868,0.029269991331101978,0.8992227991668181,10050,14,True
rtdetr,brightness_variation_S3,brightness_variation,3,dcn,0.18624575837792504,0.8413400534411957,0.19625331961410017,0.31426279533848617,0.8840413428890945,10050,15,False
rtdetr,brightness_variation_S4,brightness_variation,4,raw,0.00888045995982725,0.43534419536590574,0.04403048229908839,0.03075014344836802,0.8851630507788164,10050,14,False
rtdetr,brightness_variation_S4,brightness_variation,4,ts,0.01205251460615661,0.4597326657346427,0.03965095722151177,0.030919772962544757,0.8851630507788164,10050,14,True
rtdetr,brightness_variation_S4,brightness_variation,4,dcn,0.2038382985872756,0.8315720060227081,0.21662355847581538,0.33448849693645016,0.8772390306935222,10050,15,False
rtdetr,brightness_variation_S5,brightness_variation,5,raw,0.008213523749067489,0.5757990082105001,0.04378507638447432,0.03415678456302357,0.8869356393578081,10050,14,False
rtdetr,brightness_variation_S5,brightness_variation,5,ts,0.011838344796067726,0.5817702354949275,0.039471139595866955,0.03552065331677111,0.8869356393578081,10050,14,True
rtdetr,brightness_variation_S5,brightness_variation,5,dcn,0.2213038349180655,0.831577157375043,0.23408292516244408,0.35464008181132695,0.865962769625813,10050,15,False
rtdetr,gaussian_noise_S1,gaussian_noise,1,raw,0.038864495050653224,0.8685986399650574,0.040127614383627455,0.05353178213339797,0.001656338693663561,10050,13,False
rtdetr,gaussian_noise_S1,gaussian_noise,1,ts,0.03095184939996697,0.8849592016493077,0.03222743920796219,0.04800828367892704,0.001656338693663561,10050,13,True
rtdetr,gaussian_noise_S1,gaussian_noise,1,dcn,0.04618073491729301,0.9580784440040588,0.04738502925118076,0.10542869698101932,0.002513822550296714,10050,15,False
rtdetr,gaussian_noise_S2,gaussian_noise,2,raw,0.03979826216025287,0.5896578431129456,0.039798262160252874,0.044898445786376376,0.0,10050,8,False
rtdetr,gaussian_noise_S2,gaussian_noise,2,ts,0.03148613833376558,0.6044093419394734,0.03148613833376559,0.03695907124139439,0.0,10050,10,True
rtdetr,gaussian_noise_S2,gaussian_noise,2,dcn,0.009845973571423864,0.591312050819397,0.009845973571423864,0.016728470455830178,0.0,10050,6,False
